gene	symbol	gene.name	phenotype.summary
YMR282C	AEP2	ATPase ExPression	Non-essential gene; null mutant is unable to grow under respiratory growth conditions; in systematic studies, null mutant shows slow growth under fermentative growth condtions, produces small-size cells, has abnormal mitochondrial morphology and lower resistance to ethanol; in diploids under competitive growth conditions, homozygous null mutation results in sensitivity to oxidative stress and increased resistance to cell wall-affecting chemicals, such as caffeine and Calcofluor White, and to DNA-damaging factors, such as MMS, idarubicin, melphalan

YNR036C	MRPS12	Mitochondrial Ribosomal Protein, Small subunit	NA
YGL104C	VPS73	Vacuolar Protein Sorting	NA
YPR083W	MDM36	Mitochondrial Distribution and Morphology	NA
YPL159C	PET20	PETite colonies	NA
YDR511W	SDH7	Succinate DeHydrogenase	NA
YDR379C-A	SDH6	NA	NA
YIL042C	PKP1	Protein Kinase of PDH	NA
YGL059W	PKP2	Protein Kinase of PDH	NA
YGR257C	MTM1	Manganese Trafficking factor for Mitochondrial SOD2	NA
YKL023C-A	MIN9	mitochondrial MINi protein of 9 kDa	NA
YLR049C	MLO50	Mitochondrially LOcalized protein of 50 kDa	NA
YBR201C-A	MIN7	mitochondrial MINi protein of ~7 kDa	NA
YMR066W	SOV1	Synthesis Of Var	NA
YJR085C	TMH11	TMem14 Homolog of 11 kDa	NA
YML007C-A	MIN4	mitochondrial MINi protein of 4 kDa	NA
YMR252C	MLO1	Mitochondrially LOcalized protein	NA
YLR281C	RSO55	mitochondrial protein Related to Spastic paraplegia with Optic atrophy and neuropathy SPG55	NA
YJL127C-B	MCO6	Mitochondrial Class One protein of 6 kDa	NA
YFR032C-B	MIN10	mitochondrial MINi protein of 10 kDa	NA
YPR098C	TMH18	TMem205 Homolog of 18 kDa	NA
YBL039W-B	MIN6	mitochondrial MINi protein of ~6 kDa	NA
YKL133C	RCI50	Respiratory Chain Interacting protein of ~50 kDa	NA
YIL156W-B	MCO8	Mitochondrial Class One protein of 8 kDa	NA
YDR286C	MGP12	Mitochondrial Glutaredoxin-like Protein of 12 kDa	NA
YDR185C	UPS3	UnProceSsed	NA
YPR010C-A	MIN8	mitochondrial MINi protein of 8 kDa	NA
YJR039W	MLO127	Mitochondrially LOcalized protein of 127 kDa	NA
YLR253W	MCP2	Mdm10 Complementing Protein	NA
YOR228C	MCP1	Mdm10 Complementing Protein	NA
YJL209W	CBP1	Cytochrome B mRNA Processing	Non-essential gene; mutants are incapable of respiratory growth on non-fermentable carbon sources; conditional mutant fails to accumulate cytochrome B (COB) mRNA under restrictive conditions; in systematic studies null mutants show decreased chronological lifespan and reduced competitive fitness
YPL215W	CBP3	Cytochrome B mRNA Processing	Non-essential gene; in systematic studies, null mutants are incapable of respiratory growth on non-fermentable carbon sources, grow slowly on fermentable carbon sources and show reduced competitive fitness 
YGR174C	CBP4	Cytochrome B mRNA Processing	Non-essential gene; in systematic studies, null mutants show reduced rate of respiratory growth on non-fermentable carbon sources, grows slowly on fermentable carbon sources and shows reduced competitive fitness 
YJL062W-A	COA3	Cytochrome Oxidase Assembly	Non-essential gene; null mutant displays petite phenotype, i.e. forms small colonies on fermentable carbon sources due to respiratory growth defect; null mutant is unable to grow on nonfermentable carbon sources
YOR226C	ISU2	IscU homolog	Non-essential gene; null mutant shows decreased respiratory growth, reduced biofilm formation, shortened chronological lifespan and lower competitive fitness

YOL026C	MIM1	Mitochondrial IMport	NA
YLR099W-A	MIM2	NA	NA
YGL107C	RMD9	Required for Meiotic nuclear Division	NA
YMR098C	ATP25	ATPase	Non-essential gene; null mutation causes "petite" phenotype - slow growth on glucose and no growth with non-fermentable carbon sources, indicating respiratory deficiency; null mutant also shows increased frequency of mitochondrial genome loss (rho- mutations); in systematic studies null mutants are sensitive to ethanol and palmitoleate, but resistant to miconazole and edelfosine; overexpression in Sigma1278b causes increased invasive growth

YIL051C	MMF1	Mitochondrial Matrix Factor	Non-essential gene; null mutation causes isoleucine auxotrophy, respiratory defect and mitochondrial genome instability

YBR120C	CBP6	Cytochrome B Protein synthesis	Non-essential gene; null mutant shows increased replicative lifespan; in systematic studies, null mutants have lower competitive fitness and slow growth rate
YGR207C	CIR1	Changed Intracellular Redox state	Non-essential gene; null mutant has faster growth rate and increased sensitivity to oxidative stress during respiratory growth on nonfermentable carbon sources; also shows proliferation of peroxisomes
YDL044C	MTF2	Mitochondrial Transcription Factor	NA
YHR194W	MDM31	Mitochondrial Distribution and Morphology	NA
YBR192W	RIM2	Replication In Mitochondria	NA
YNL137C	NAM9	Nuclear Accommodation of Mitochondria	NA
YJL063C	MRPL8	Mitochondrial Ribosomal Protein, Large subunit	NA
YJL096W	MRPL49	Mitochondrial Ribosomal Protein, Large subunit	NA
YKR085C	MRPL20	Mitochondrial Ribosomal Protein, Large subunit	NA
YKL138C	MRPL31	Mitochondrial Ribosomal Protein, Large subunit	NA
YLR312W-A	MRPL15	Mitochondrial Ribosomal Protein, Large subunit	NA
YMR286W	MRPL33	Mitochondrial Ribosomal Protein, Large subunit	NA
YML009C	MRPL39	Mitochondrial Ribosomal Protein, Large subunit	NA
YNL177C	MRPL22	Mitochondrial Ribosomal Protein, Large subunit	NA
YNL185C	MRPL19	Mitochondrial Ribosomal Protein, Large subunit	NA
YNL252C	MRPL17	Mitochondrial Ribosomal Protein, Large subunit	NA
YPL173W	MRPL40	Mitochondrial Ribosomal Protein, Large subunit	NA
YPR100W	MRPL51	Mitochondrial Ribosomal Protein, Large subunit	NA
YBR268W	MRPL37	Mitochondrial Ribosomal Protein, Large subunit	NA
YDR405W	MRP20	Mitochondrial Ribosomal Protein	NA
YDR116C	MRPL1	Mitochondrial Ribosomal Protein, Large subunit	NA
YGR220C	MRPL9	Mitochondrial Ribosomal Protein, Large subunit	NA
YHR147C	MRPL6	Mitochondrial Ribosomal Protein, Large subunit	NA
YDR296W	MHR1	Mitochondrial Homologous Recombination	NA
YNL284C	MRPL10	Mitochondrial Ribosomal Protein, Large subunit	NA
YKL170W	MRPL38	Mitochondrial Ribosomal Protein, Large subunit	NA
YCR071C	IMG2	Integrity of Mitochondrial Genome	NA
YML025C	YML6	NA	NA
YGL068W	MNP1	Mitochondrial-Nucleoid Protein	Essential gene in S288C, non-essential in W303; null mutant in W303 shows petite phenotype indicative of respiratory growth defect

YBR282W	MRPL27	Mitochondrial Ribosomal Protein, Large subunit	NA
YLR439W	MRPL4	Mitochondrial Ribosomal Protein, Large subunit	NA
YBL038W	MRPL16	Mitochondrial Ribosomal Protein, Large subunit	NA
YNL122C	NA	NA	NA
YDR322W	MRPL35	Mitochondrial Ribosomal Protein, Large subunit	NA
YNL005C	MRP7	Mitochondrial Ribosomal Protein	NA
YDL202W	MRPL11	Mitochondrial Ribosomal Protein, Large subunit	NA
YOR150W	MRPL23	Mitochondrial Ribosomal Protein, Large subunit	NA
YMR024W	MRPL3	Mitochondrial Ribosomal Protein, Large subunit	NA
YDR237W	MRPL7	Mitochondrial Ribosomal Protein, Large subunit	NA
YGR076C	MRPL25	Mitochondrial Ribosomal Protein, Large subunit	NA
YKR006C	MRPL13	Mitochondrial Ribosomal Protein, Large subunit	NA
YKL167C	MRP49	Mitochondrial Ribosomal Protein	NA
YNR022C	MRPL50	Mitochondrial Ribosomal Protein, Large subunit	NA
YBR122C	MRPL36	Mitochondrial Ribosomal Protein, Large subunit	NA
YMR225C	MRPL44	Mitochondrial Ribosomal Protein, Large subunit	NA
YCR003W	MRPL32	Mitochondrial Ribosomal Protein, Large subunit	NA
YDR462W	MRPL28	Mitochondrial Ribosomal Protein, Large subunit	NA
YCR046C	IMG1	Integrity of Mitochondrial Genome	NA
YMR193W	MRPL24	Mitochondrial Ribosomal Protein, Large subunit	NA
YEL050C	RML2	Ribosomal Mitochondrial Large	NA
YJR101W	RSM26	Ribosomal Small subunit of Mitochondria	NA
YMR188C	MRPS17	Mitochondrial Ribosomal Protein, Small subunit	NA
YMR158W	MRPS8	Mitochondrial Ribosomal Protein, Small subunit	NA
YPR166C	MRP2	Mitochondrial Ribosomal Protein	NA
YPL013C	MRPS16	Mitochondrial Ribosomal Protein, Small subunit	NA
YBR251W	MRPS5	Mitochondrial Ribosomal Protein, Small subunit	NA
YBR146W	MRPS9	Mitochondrial Ribosomal Protein, Small subunit	NA
YDR337W	MRPS28	Mitochondrial Ribosomal Protein, Small subunit	NA
YDR175C	RSM24	Ribosomal Small subunit of Mitochondria	NA
YGR215W	RSM27	Ribosomal Small subunit of Mitochondria	NA
YGR084C	MRP13	Mitochondrial Ribosomal Protein	NA
YHL004W	MRP4	Mitochondrial Ribosomal Protein	NA
YIL093C	RSM25	Ribosomal Small subunit of Mitochondria	NA
YKL155C	RSM22	Ribosomal Small subunit of Mitochondria	NA
YDL045W-A	MRP10	Mitochondrial Ribosomal Protein	NA
YNL306W	MRPS18	Mitochondrial Ribosomal Protein, Small subunit	NA
YDR494W	RSM28	Ribosomal Small subunit of Mitochondria	NA
YDR041W	RSM10	Ribosomal Small subunit of Mitochondria	NA
YER050C	RSM18	Ribosomal Small subunit of Mitochondria	NA
YNR037C	RSM19	Ribosomal Small subunit of Mitochondria	NA
YJR113C	RSM7	Ribosomal Small subunit of Mitochondria	NA
YGL129C	RSM23	Ribosomal Small subunit of Mitochondria	NA
Q0140	VAR1	NA	NA
YKL003C	MRP17	Mitochondrial Ribosomal Protein	NA
YDR347W	MRP1	Mitochondrial Ribosomal Protein	NA
YBL090W	MRP21	Mitochondrial Ribosomal Protein	NA
YPL118W	MRP51	Mitochondrial Ribosomal Protein	NA
YGR165W	MRPS35	Mitochondrial Ribosomal Protein, Small subunit	NA
YOR158W	PET123	PETite colonies	NA
YHR038W	RRF1	Ribosome Recycling Factor	NA
YFL036W	RPO41	RNA POlymerase	NA
YMR228W	MTF1	Mitochondrial Transcription Factor	NA
YBR263W	SHM1	Serine HydroxyMethyltransferase	NA
YGR101W	PCP1	Processing of Cytochrome c Peroxidase	Non-essential gene; null mutant shows respiratory growth defects and abnormal mitochondrial morphology, also shows sensitivity to osmotic stress, caffeine, rapamycin; overexpression causes slow growth

YJR095W	SFC1	Succinate-Fumarate Carrier	NA
YCR083W	TRX3	ThioRedoXin	NA
YHR106W	TRR2	ThioRedoxin Reductase	NA
YKL194C	MST1	Mitochondrial aminoacyl-tRNA Synthetase, Threonine	NA
YDR194C	MSS116	Mitochondrial Splicing System	NA
YDR197W	CBS2	Cytochrome B Synthesis	Non-essential gene; null mutation causes accumulation of unspliced COB and COX1 mRNA precursors and inability to grow on non-fermentable carbon sources; in systematic studies null mutants show slow growth rate, increased resistance to azoles and reduced competitive fitness
YDL069C	CBS1	Cytochrome B Synthesis	Non-essential gene; null mutation causes accumulation of unspliced COB and COX1 mRNA precursors; null mutant is unable to grow on non-fermentable carbon sources and shows reduced autophagy
YMR257C	PET111	PETite colonies	NA
YNR045W	PET494	PETite colonies	NA
YER153C	PET122	PETite colonies	NA
YOR187W	TUF1	NA	Non-essential gene; null mutants show small cell size, grow slowly, are defective in vacuolar fragmentation, have abnormal mitochondria, are impaired in respiration, have shortened lifespan, and decreased biofilm formation; null mutants are resistant to phosphatidylinositol 3-kinase inhibitor wortmannin, TOR inhibitor rapamycin, apoptosis inducer edelfosine, azole drugs and some metals; null mutants are sensitive to quinine, ethanol, and herbicides; overexpression slows growth; R328Q reduction-of-function mutation that corresponds to infantile macrocystic leukodystrophy-associated mutation in human EFTu impairs respiratory growth

YOL023W	IFM1	Initiation Factor of Mitochondria	NA
YJL131C	AIM23	Altered Inheritance rate of Mitochondria	Non-essential gene; null mutant displays is unable to grow on non-fermentable carbons sources, and displays reduced growth in anaerobic conditions; null mutant displays an increased frequency of spontaneous mitochondrial genome loss; null mutant is sensitive to hyperosmotic stress and displays an enhanced ability to form biofilms

YGL143C	MRF1	Mitochondrial peptide chain Release Factor	NA
YPR011C	NA	NA	NA
YDR438W	THI74	THIamine regulon	NA
YGL063W	PUS2	PseudoUridine Synthase	NA
YDL036C	PUS9	PseudoUridine Synthase	NA
YDR268W	MSW1	Mitochondrial aminoacyl-tRNA Synthetase, tryptophan (W)	NA
YCR079W	PTC6	Phosphatase Two C	NA
YOR090C	PTC5	Phosphatase Two C	NA
YPL097W	MSY1	Mitochondrial aminoacyl-tRNA Synthetase, tyrosine (Y)	NA
YJR100C	AIM25	Altered Inheritance of Mitochondria	Non-essential gene; null mutant has increased competitive fitness on minimal medium; null mutant displays an increased frequency of spontaneous mitochondrial genome loss

YBR179C	FZO1	FuZzy Onions homolog	Non-essential gene; null mutant has fragmented mitochondria, loses the mitochondrial genome, and cannot grow on nonfermentable carbon sources; overexpression also causes mitochondrial fragmentation; null mutant is sensitive to hyperosmotic stress and has lengthened replicative lifespan but shortened chronological lifespan; in large-scale studies, the null mutant has reduced competitive fitness, poor utilization of several nitrogen sources, and altered resistance to various chemicals

YLR113W	HOG1	High Osmolarity Glycerol response	Non-essential gene; null mutant is sensitive to hyperosmotic stress and fails to accumulate glycerol under hyperosmotic conditions; null mutation confers increased sensitivity to cold, acid and multiple chemicals including tunicamycin, DTT, SDS, Congo Red

YGR040W	KSS1	Kinase Suppressor of Sst2 mutations	Non-essential gene; reported to be nonfunctional in S288C and related strains; in Sigma1278b null mutation decreases filamentous and invasive growth and causes sensitivity to osmotic stress; reduction-of-function mutations in Sigma1278b lead to abnormal distribution of Bcy1p and Sks1p, and sterile phenotype
